input_latitude,input_longitude,ll_uuid,parcel_address,parcel_city,parcel_state,parcel_zip,county,usecode,usedesc,zoning,zoning_description,zoning_type,zoning_subtype,structstyle,numunits,numstories,yearbuilt,sqft,acres,parcel_centroid_lat,parcel_centroid_lon,home_id,fema_flood_zone,fema_zone_subtype,fema_sfha,fema_static_bfe,fema_study_type,fema_zone_desc,fema_api_status,crime_burglary_residence,crime_arson,crime_robbery,crime_burglary_other,crime_theft_motor_vehicle,crime_theft_other,crime_vandalism,crime_other_property,crime_total,crime_insurance_score,hail_events_5yr,hail_max_size_in,hail_avg_size_in,hail_severe_events,hail_extreme_events,hail_damage_total_usd,tornado_events_5yr,tornado_damage_usd,tornado_max_fscale,wind_events_5yr,wind_max_mph,wind_damage_usd,flash_flood_events_5yr,flash_flood_damage_usd,storm_risk_score
32.97746,-96.78111,be21e383-d309-4618-b3a6-4a3bc004d051,7231 HOLYOKE DR,DALLAS,TX,75248-2238,dallas,1,SINGLE FAMILY RESIDENCES,R-7.5(A,Single Family District 7500 Square Feet,Residential,Single Family,21,,2.0,1974.0,,,32.977298,-96.781118,284,X,AREA OF MINIMAL FLOOD HAZARD,F,-9999.0,NP,"Moderate/minimal risk (shaded=0.2%, unshaded=minimal)",ok,0,0,0,2,0,1,0,0,3,3.8,23,3.0,1.26,7,3,1163000.0,0,0.0,0,15,67.0,21500.0,3,90000.0,72.5
32.820628,-96.754126,96d08b36-eec9-444a-a7ee-8e10978b7975,6346 VELASCO AVE,DALLAS,TX,75214-3342,dallas,1,SINGLE FAMILY RESIDENCES,R-7.5(A,Single Family District 7500 Square Feet,Residential,Single Family,21,,2.0,2012.0,,,32.820769,-96.754049,285,X,AREA OF MINIMAL FLOOD HAZARD,F,-9999.0,NP,"Moderate/minimal risk (shaded=0.2%, unshaded=minimal)",ok,0,0,0,6,0,18,0,0,24,23.4,13,1.75,1.08,2,0,6000.0,1,2000.0,0,7,61.0,10065000.0,7,350160000.0,40.5
32.860832,-96.6263,b971b494-0969-4be8-8160-514e4b0dfbdd,4705 LAS PALMAS CT,GARLAND,TX,75043-3000,dallas,1,SINGLE FAMILY RESIDENCES,SF-7,Single Family 7,Residential,Single Family,16,,1.0,1977.0,,,32.860995,-96.626594,286,X,AREA OF MINIMAL FLOOD HAZARD,F,-9999.0,NP,"Moderate/minimal risk (shaded=0.2%, unshaded=minimal)",ok,0,0,0,0,0,0,0,0,0,0.0,11,1.5,1.04,1,0,0.0,1,400000000.0,2,6,60.0,17000.0,1,3000.0,29.0
32.858729,-96.789655,de591dd0-8877-4491-bd8c-4896fd8d6392,3501 CARUTH BLVD,UNIVERSITY PARK,TX,75225-5002,dallas,1,SINGLE FAMILY RESIDENCES,SF-2,Single Family District 2,Residential,Single Family,26,,3.0,2011.0,,,32.858918,-96.789853,287,X,AREA OF MINIMAL FLOOD HAZARD,F,-9999.0,NP,"Moderate/minimal risk (shaded=0.2%, unshaded=minimal)",ok,0,0,0,0,0,0,0,0,0,0.0,15,1.5,1.0,1,0,1000.0,2,52000.0,1,9,66.0,10040000.0,7,300160000.0,47.5
32.972858,-96.869332,70e4274f-6d2d-41f5-a12b-c694aa590fc9,2517 ROSEBUD CIR,CARROLLTON,TX,75006-2714,dallas,1,SINGLE FAMILY RESIDENCES,SF-7/14,Single Family Residential District,Residential,Single Family,16,,2.0,1981.0,,,32.972781,-96.869383,288,X,AREA OF MINIMAL FLOOD HAZARD,F,-9999.0,NP,"Moderate/minimal risk (shaded=0.2%, unshaded=minimal)",ok,0,0,0,0,0,0,0,0,0,0.0,11,1.0,0.92,0,0,0.0,2,40000.0,0,14,78.0,299500.0,2,150000.0,30.0
32.715081,-96.823391,d8be9683-97cb-4686-8090-6ef4c078a733,114 W HOBSON AVE,DALLAS,TX,75224-2924,dallas,2,COMMERCIAL IMPROVEMENTS,R-7.5(A,Single Family District 7500 Square Feet,Residential,Single Family,RECREATION BUILDING,0.0,1.0,2012.0,,,32.714113,-96.824741,289,X,AREA OF MINIMAL FLOOD HAZARD,F,-9999.0,NP,"Moderate/minimal risk (shaded=0.2%, unshaded=minimal)",ok,0,0,2,4,0,11,0,0,17,18.8,9,2.0,1.22,3,2,305000.0,0,0.0,0,9,60.0,105000.0,3,50090000.0,38.5
32.811948,-96.55993,a1aa27e6-fe98-4144-a280-4e212532d9e2,319 PINTAIL WAY,SUNNYVALE,TX,75182,dallas,1,SINGLE FAMILY RESIDENCES,PD(PRO-463,Master Planned Development And Residential Overlay,Overlay,Overlay,23,,1.0,2023.0,,,32.811831,-96.56004,290,X,AREA OF MINIMAL FLOOD HAZARD,F,-9999.0,NP,"Moderate/minimal risk (shaded=0.2%, unshaded=minimal)",ok,0,0,0,0,0,0,0,0,0,0.0,6,1.75,1.17,1,0,7000.0,0,0.0,0,5,59.0,30000.0,2,1020000.0,15.5
32.928006,-96.645754,30f3eabe-5f79-41a4-95d0-66dabd950bc7,1117 ALAMO LN,GARLAND,TX,75040-4592,dallas,1,SINGLE FAMILY RESIDENCES,SF-7,Single Family 7,Residential,Single Family,13,,1.0,1956.0,,,32.928102,-96.645593,291,X,AREA OF MINIMAL FLOOD HAZARD,F,-9999.0,NP,"Moderate/minimal risk (shaded=0.2%, unshaded=minimal)",ok,0,0,0,0,0,0,0,0,0,0.0,19,2.25,1.36,8,4,383000.0,2,410000000.0,2,7,60.0,18500.0,5,33000.0,90.5
32.917436,-96.720282,67aa9385-00a7-4936-b918-f5280ac18b93,9727 BURLESON DR,DALLAS,TX,75243-2304,dallas,1,SINGLE FAMILY RESIDENCES,R-7.5(A,Single Family District 7500 Square Feet,Residential,Single Family,18,,1.0,1980.0,,,32.917471,-96.720213,292,X,AREA OF MINIMAL FLOOD HAZARD,F,-9999.0,NP,"Moderate/minimal risk (shaded=0.2%, unshaded=minimal)",ok,0,0,0,0,0,8,0,0,8,6.4,21,2.25,1.2,6,2,183000.0,2,400050000.0,2,6,60.0,16500.0,4,100000.0,74.0
32.718613,-96.607705,7fbdc329-dba7-4ed0-a515-58e88ea855fb,3919 PIONEER RD,BALCH SPRINGS,TX,75180-3010,dallas,1,SFR - VACANT LOTS/TRACTS,SF-6,Single Family Dwelling District,Residential,Single Family,LAND ONLY,,1.0,1948.0,,,32.717746,-96.608072,293,X,AREA OF MINIMAL FLOOD HAZARD,F,-9999.0,NP,"Moderate/minimal risk (shaded=0.2%, unshaded=minimal)",ok,0,0,0,0,0,0,0,0,0,0.0,10,2.0,1.26,3,1,217000.0,1,10000.0,0,7,70.0,213000.0,5,501120000.0,41.5
32.754295,-96.583906,1eae4213-35ed-4aed-90af-b730a8cc80b1,1009 PIONEER RD,MESQUITE,TX,75149-5262,dallas,1,SINGLE FAMILY RESIDENCES,R-3,Single Family Residential,Residential,Single Family,14,,1.0,1971.0,,,32.754195,-96.583814,294,X,AREA OF MINIMAL FLOOD HAZARD,F,-9999.0,NP,"Moderate/minimal risk (shaded=0.2%, unshaded=minimal)",ok,0,0,0,0,0,0,0,0,0,0.0,9,1.75,1.18,2,0,17000.0,1,10000.0,0,5,65.0,105000.0,4,501020000.0,29.5
32.732922,-96.814889,8e4464c0-cbe6-453d-a537-17fe180c3efa,1307 S MARSALIS AVE,DALLAS,TX,75216-1042,dallas,1,SINGLE FAMILY RESIDENCES,R-7.5(A,Single Family District 7500 Square Feet,Residential,Single Family,13,,1.0,1941.0,,,32.732827,-96.814832,295,X,AREA OF MINIMAL FLOOD HAZARD,F,-9999.0,NP,"Moderate/minimal risk (shaded=0.2%, unshaded=minimal)",ok,0,0,1,1,0,14,0,0,16,14.7,10,2.0,1.2,3,2,305000.0,0,0.0,0,10,60.0,10105000.0,5,350090000.0,44.0
